{Position / mm};{Ausschlag / $\mu$ A}
14.00;0.007
14.5;0.012
15;0.019
15.5;0.025
16.0;0.015
16.5;0.010
16.75;0.0095
17.0;0.01
17.5;0.012
18.0;0.016
18.25;0.0175
18.5;0.014
19.0;0.0215
19.5;0.026
20;0.0225
20.5;0.017
21;0.0165
21.5;0.46
22.0;0.14
22.5;0.225
23.0;0.19
23.5;0.75
24;1.4
24.5;0.42
25;0.56
25.5;0.4
26;0.145
26.5;0.048
27;0.105
27.5;0.130
28;0.082
28.5;0.034
29;0.0145
30;0.0180
30.5;0.024
31;0.0225
31.5;0.015
32;0.0135
32.5;0.165
33;0.0170
33.5;0.013
34;0.0086
34.5;0.0056
35;0.0072
35.5;0.011
36;0.0115
36.5;0.0075
37;0.0042
37.5;0.0050