{Position / mm};{Ausschlag / nA}
-25;0.32
-24;0.34
-23;0.34
-22;0.32
-21;0.36
-20;0.44
-19;0.48
-18;0.5
-17;0.48
-16;0.54
-15;0.6
-14;0.62
-13;0.5
-12;0.4
-11;0.54
-10.5;0.74
-10;0.9
-9.5;1.15
-9;1.3
-8.5;1.4
-8;1.35
-7;1.0
-6;1.3
-5;3.4
-4;7.4
-3;12.5
-2;17.5
-1.75;18.5 
-1.5;19
-1.25;19 
-1;19.5
-0.5;19.5
-0.25;19 
 0;17.5
 0.25;16.5 
 0.5;15.5
 0.75;14.5 
 1;13.0
 1.25;12 
 1.5;10.5
1.75;9.5 
2;8.0
2.25;7.0 
2.5;6.0
2.75;5.0 
3;4.0
3.25;3.5 
3.5;2.5
3.75;2.0 
4;1.5
4.5;1
5;0.84
5.5;0.72
6;0.68
6.5;0.7
7;0.7
7.5;0.66
8;0.6
8.5;0.54
9;0.48
10;0.38
11;0.4
12;0.41
13;0.4
13.5;0.38
14;0.36
15;0.34
16;0.35
17;0.36
18;0.36
19;0.34
20;0.32
21;0.3
22;0.3
23;0.3
24;0.29
25;0.28