{Position / mm};{Ausschlag / nA}
1;0.34
2;0.34
3;0.32
4;0.36
5;0.44
6;0.48
7;0.50
8;0.48
9;0.54
10;0.60
11;0.62
12;0.50
13;0.40
14;0.54
14.5;0.74
15;0.90
15.5;1.15
16;1.30
16.5;1.40
17;1.35
18;1.0
19;1.30
20;3.4
21;7.4
22;12.5
23;17.5
23.25;18.5
23.5;19
23.75;19
24;19.5
24.25;19.5
24.5;19.5
24.75;19
25;17.5
25.25;16.5
25.5;15.5
25.75;14.5
26;13.0
26.25;12.0
26.5;10.5
26.75;9.5
27;8.0
27.25;7.0
27.5;6.0
27.75;5.0
28;4.0
28.25;3.5
28.5;2.5
28.75;2.0
29;1.5
29.5;1.0
30;0.84
30.5;0.72
31;0.68
31.5;0.70
32;0.70
32.5;0.66
33;0.60
33.5;0.54
34;0.48
35;0.38
36;0.40
37;0.41
38;0.40
38.5;0.38
39;0.36
40;0.34
41;0.35
42;0.36
43;0.36
44;0.34
45;0.32
46;0.30
47;0.30
48;0.30
49;0.29
50;0.28